Bangla_Translation,Label
ভাই ওইযে বললেন রিস্ক নিতে পছন্দ করে। আমার মনে হয় এটা ফ্যামিলির ফিন্যানশিয়াল কন্ডিশনের উপরই পুরোদমে ডিপেন্ডেন্ট। আমি ১৯২১ সালে প্রতিষ্ঠিত হওয়া একটা বিশ্ববিদ্যালয়ে পড়ছি। আমারও ট্র্যাডিশনাল ফিল্ডের বাইরে অন্যদিকে ক্যারিয়ার গড়ার ইচ্ছা আছে হয়তো আমি এ রিস্কটা নিতে পারবো না কারণ আমার ওইরকম সাপোর্ট নেই।,neutral
শেষ পর্যন্ত প্রাইভেট পাবলিকের চেয়ে ভালো... 🙂🙂🙂,pro_private
"এক ভাই লিখেছেন সরকারি বিশ্ববিদ্যালয় না টেকলে পরে প্রাইভেটে যায় ঠিক বলছ ভাই তুমি একটা বড় ধরনের গাধা। আমার এক ছাত্র রাজশাহী, সিলেট কৃষি, জগন্নাথ, মাওলানা ভাসানী, চুয়েট, কুয়েট পরে সব বাদ দিয়া শেষে ঢাবিতে ভর্তি হয় এক বছর ভাবিত পরে পরের বছর ২৪ সালে আইইউটিতে মেকানিক্যালে ভর্তি হয়। আপনি এখন বলেন এই ছাত্রটি খারাপ? বহু ছাত্র ছাত্রী ঢাবি, রাজশাহী, চিটাগাং বাদ দিয়া প্রাইভেটে ভর্তি হয়েছে। তারা তোমার মতো বোকা না।",pro_private
আমার মনে হয় এটা ডিপেন্ড করে ফিন্যানশিয়াল সিচুয়েশনের উপর। মিডল ক্লাস ফ্যামিলির সব স্টুডেন্টস প্রাইভেট ইউনিভার্সিটিতে পড়তে পারে না তাই তাদের মেইন টার্গেট থাকে পাবলিক ইউনিভার্সিটি।,neutral
"পাবলিক পাবলিক হয় যাদের মেধা আছে তারাই পাবলিকে পড়ে,, আর অনেক পুলাপান পাবলিকে চান্স না পেলে পরে যাদের টাকা আছে তারা প্রাইভেটে ভর্তি হয়,,, আমার দেখা অনেক খারাপ ছাত্র বাবার টাকা আছে তারা প্রাইভেটে ভর্তি হয়েছে",pro_public
আপনি কোথায় পড়েন??? বুয়েট না টপ মেডিকেল??,neutral
@amazingkidszone230 মনে হয় অক্সফোর্ডে,neutral
"ফ্রিতে সবাই পড়তে চায়, তাই যায়। এখন ফ্রিতে যেমন লটারিতেও মানুষ নাম দেয় তেমন করে ভর্তি পরীক্ষা নামক জুয়া খেলায়ও নাম দেয়। এক জায়গায় ভর্তি হওয়া আর না হওয়া ওই কিছুদিন পর্যন্ত থাকে। এট দ্যা এন্ড, লক্ষ্য তো পেশায় যাওয়া কোন বিশ্ববিদ্যালয় স্কুল কলেজে পড়সি ওই সার্টিফিকেট অব্দি নাম থাকে।",neutral
ডিউতে চান্স পেয়েও পড়ছি না বিকজ অফ সাবজেক্ট লল😂,neutral
"সিকেআরইউইটি, সাস্ট, মিস্ট বাদ দিয়া তাইলে হুদাই মেবি ব্র্যাকে ভর্তি হইসি ভালো সাবজেক্টের আশায়",neutral
ফালতু কথা।,neutral
নাহ..,neutral
ব্রাদার এটা বাংলাদেশ। তোমার এই কথার ভ্যালু কেউ বুঝবে না। তারা অলওয়েজ পাবলিককেই বেস্ট ভাববে স্পেশালি গার্ডিয়ানরা,neutral
@IstiakUtshow-b2s ঠিক। কিন্তু 2-3 প্রজন্ম পর গার্ডিয়ানদের এই মেন্টালিটি দূর হয়ে যাবে। মিলিয়ে নিও।,neutral
পাবলিকে পড়তে হলে তো আগে চান্স পাওয়া লাগবে আপু,neutral
আমি গরিব 😭😭 প্লিজ আমাকে পাবলিক দেও 😭😭,pro_public
হুম 😅,neutral
তোমার স্বপ্নে,neutral
আপনার কথাগুলো শুনে অনেক ভালো লাগল।,neutral
"নট রিয়েলি। শেষ পর্যন্ত, পাবলিকের স্টুডেন্টরাই প্রাইভেটের টিচার হয়। আর পাবলিকে পড়তে অ্যাডমিশন দেওয়া লাগে। যেটা প্রাইভেটে দেওয়া লাগে না। আর দিলেও পাবলিকের মতো এতো হার্ড না",pro_public
@TahmidTahmid-pz9nw আপনাকে এটা কে বলেছে প্রাইভেটে অ্যাডমিশন পরীক্ষা দেওয়া লাগে না? এ গ্রেড প্রাইভেট ইউনিভার্সিটিতে পড়তে গেলে আপনাকে অবশ্যই অ্যাডমিশন পরীক্ষা দেওয়া লাগবে,pro_private
"আমার দেখা অনেক স্টুডেন্ট যারা প্রাইমারি, হাই স্কুল লেভেলে ক্লাস টপার ছিল...তারা কোনো কারণে পাবলিকে টিকে নি বা টিকলেও মনমতো সাবজেক্ট পায়নি এখন প্রাইভেটে পড়ছে। আবার সেইম ক্লাসের মিড লেভেলের স্টুডেন্ট ডিএমসি তে বা অন্যান্য পাবলিক ইউনিভার্সিটিতে চান্স পেয়েছে এবং পড়ছে। জাস্ট কলেজ লাইফের দুইটা বছরের পড়াশোনা বা অ্যাডমিশনে চান্স পাওয়া দিয়ে আপনি একজন স্টুডেন্টকে ভালো বা খারাপ স্টুডেন্ট ট্যাগ দিয়ে দিলেন.... সামান্য অ্যাডমিশন দিয়ে যদি একজন স্টুডেন্টের পূর্বের এডুকেশন কোয়ালিফিকেশন সব মিথ্যা হয়ে যায়,, তাহলে শুনে রাখুন ইউনিভার্সিটিরও 4 বছর পর জব সেক্টরে তার পজিশনের উপর ভার্সিটির 4 বছরের সবকিছু মিথ্যা হয়ে যাবে।",pro_private
পাবলিকে ট্রাই করে না টিকলে তবেই অনেকে বাধ্য হয়ে প্রাইভেটে যায়! আর এটাই বাস্তব!,pro_public
খানকির পোলা তোরা স্পুন ফিড করিস প্রাইভেটে?,pro_public
পাবলিকের স্টুডেন্ট ওই স্টুডেন্ট আবার প্রাইভেটে টিচার হয়। তাহলে প্রাইভেটে লেভেল আসলেই বোঝা যায়,pro_public
ভাই আপনার সাথে একমত হতে পারলাম না। পাবলিকের পোলাপান গদ বাধা ওই টুকুর মধ্যেই ঘুরে না। প্রাইভেটের স্টুডেন্টরা তো ম্যাক্সিমাম বিদেশ চলে যায়। কিন্তু পাবলিকের পোলাপান এ রিস্ক নিতে পারে এবং নেয়। বাংলাদেশের সব বড় বড় জায়গা বলেন কিংবা ব্যবসা দেখবেন তারা এক সময় পাবলিকেই পড়ত। আরেকটা পয়েন্ট পাবলিকে পড়লে যে একটা নেটওয়ার্ক তৈরি হয় সেটা অন্য কোথাও সম্ভব না।,pro_public
প্রাইভেট থেকে পাবলিক বিশ্ববিদ্যালয় সেরা যেকোনো দিক থেকে ১০০%,pro_public
"আসলে, আমার মনে হয় ট্যালেন্ট একটা গ্রেট ভার্চু। পাবলিক বা প্রাইভেটের মধ্যে কোনো ডিফারেন্স নেই।",neutral
ভাইয়া পাবলিক আর প্রাইভেট কি একসাথে 2টাই পড়া যাবে...,neutral
"যে ভালো স্টুডেন্ট, সে পাবলিক প্রাইভেট দুইটাতেই ভালো রেজাল্ট করে দেখাতে পারে। সো এগুলা ম্যাটার করে না তার জন্যে। আর যারা আজেবাজে স্টুডেন্ট, ওরা দুনিয়ার যেই ইউনিতেই যাক না কেন, বাঁশ খাবেই।",neutral
মাইগ্গা মোমিত,neutral
আইইউটিয়ান হিসেবে দেখছি,neutral
২ জন পাবলিকের ছাত্র প্রাইভেট নিয়ে কথা বলে😅। প্রাইভেটের একজনকে তার সুযোগ সুবিধা ও সমস্যা জিজ্ঞেস করেন। আপনি প্রাইভেটে শিক্ষক হতে পারেন তাই বলে ছাত্রদের তো বুঝতে পারবেন না। আর সবাই ব্র্যাকে পড়ে না। ব্র্যাকের সবই ধরা যায় বড়লোক। তবে বাকিগুলো কী তাই?,pro_private
পাবলিক ইজ পাবলিক,pro_public
জয় ভাই প্রাইভেটের টিচার সে তো প্রাইভেট ইউনিভার্সিটি নিয়ে বলবেই,neutral
"আমার মনে হয় প্রাইভেট ইউনিভার্সিটিগুলো স্টুডেন্টদের তাদের মেজরের বাইরে বিভিন্ন ডিপার্টমেন্ট থেকে কোর্স চুজ করার সুযোগ দেয়। এটা একটা ফ্যাক্টর যা ডে 1 থেকে স্টুডেন্টদের পার্সপেক্টিভ ব্রডেন করে তাদের পথ নেভিগেট করতে এবং অপরচুনিটি এক্সপ্লোর করতে। তবে, পাবলিক ইউনিভার্সিটির স্টুডেন্টরা রিগোরাস সিলেকশন প্রসেসের মাধ্যমে সিলেক্টেড হয়, যা ইনহেরেন্টলি এক ব্রাঞ্চ অফ স্টুডেন্টসকে পুল করে যারা যেকোনো সাপোর্ট সিস্টেমে তাদের স্কিল নারচার করতে পারে। প্রাইভেটে অ্যানথ্রোপোলজি, সোসিওলজির মতো আনকনভেনশনাল সাবজেক্টস পড়া কেউ র‍্যাশনালি ইনফর্মড চয়েস করে প্যাশন থেকে, এবং 3.5 বছরের আউটপুট লাইকলি মাচ হায়ার দ্যান পাবলিকে লটারি অফ লাক দিয়ে ইমপোজড কেউ।",pro_private
পাবলিক বিশ্ববিদ্যালয় শিক্ষার্থীরা যে পরিমাণ কষ্ট এবং মেধার প্রতিযোগিতায় থাকে মনে হয় না প্রাইভেটে তার 5% সম্ভব। মেধার বিকাশ অথবা জ্ঞান প্রতিযোগিতায় প্রকাশ পায় এবং তা পরবর্তীতে ভবিষ্যতে দেখা যায় অবশ্যই সবাই স্মার্ট নয় সেটা পাবলিক হোক কিংবা প্রাইভেট।,pro_public
পাবলিক বেস্ট,pro_public
"হ্যায় আর ওই কম্পিটিশন পার করে কি হয়েছে, আবরার ফাহাদ ভাইয়াও চান্স পেয়ে বুয়েটে ঢুকেছিল ওনাকে যারা মারছে তারাও চান্স পেয়ে ঢুকেছিল...ওয়ান গট কিল্ড অ্যান্ড দ্য অদার্স বিকেম কিলার্স। ডিউতে তো বললাম ও না লীগের পোলাপান যারা সবাই চান্স পেয়েই তো ঢুকেছে, চান্স পাইলেই কি লাইফে সব অ্যাচিভ করে ফেলসে? এই বাংলাদেশে মানুষের পাবলিক ফেটিশটা যতদিন যাবে না পাবলিকেরই নাম নষ্ট হবে, পলিটিক্স খুনাখুনি মেয়েদেরকে হ্যারাস করা র‍্যাগিং এগুলা সব কিছু ইগনোর করা হয় জাস্ট এই বলে যে আরে চান্স পেয়ে দেখান, ওরা তো পাবলিকে পড়ে ভালো স্টুডেন্ট, ভালো স্টুডেন্ট আর ভালো মানুষের মধ্যে ডিফারেন্স আছে এটা যতদিন বুঝবে না ততদিন পাবলিকেরই কোয়ালিটি ড্রপ করবে কজ তারা এভরি অদার প্রবলেম ইগনোর করে জাস্ট ফোকাসিং কতো ট্যালেন্টেড মানুষ ঢুকসে অ্যাডমিশন টেস্টে।",pro_private
"পাবলিক বিশ্ববিদ্যালয়ে যারা গ্রাজুয়েশন করে তারা সবাইই সেলফ স্টাডি করেই কিন্তু গ্রাজুয়েট হয়। এদিকে প্রাইভেটে সেই স্কুল, কলেজের মতো টিচারের গাইডলাইনেই তারা কিন্তু গ্রাজুয়েট হয়। এখানে আসলে ওদের এটাই বুঝার সুযোগই থাকে না। কিন্তু এটা আবার ঠিক ওরা তাড়াতাড়ি বের হতে পারে। যেটা পাবলিকে সম্ভব না।",pro_public
পাবলিক তো পাবলিকে যতই টক শো করেন। একটা কম্পিটিশন পার করে চান্স পাওয়ার মতো বিরাট ব্যাপার কখনোই পাবেন না।,pro_public
আগে চান্স পেয়ে দেখান,pro_public
"ইয়াহ বাট রিমাইন্ড দ্য ওয়ার্ড ""অনেকে"" সবাই না, অনেক প্রাইভেট ইউনিভার্সিটির সাবজেক্ট টপ পাবলিক ইউনিভার্সিটিগুলোর থেকে ভালো... তখন অনেকেই এগুলোয়ে ডাইরেক্ট ভর্তি হয়... অ্যাজ অ্যান এক্সাম্পল, আমি 23-24 সেশনে আইইউবিতে ইইই নিয়ে ভর্তি হইসি কোনো অ্যাডমিশন দেই নাই।",pro_private
চান্স পাইবা না তাই,pro_public
@ShawmikCanArt8 ভাই ইইইতে পার আওয়ার সেমিস্টার ফি কতো এবং এখানে কি 2026 এ আইইবি মেম্বারশিপ আছে?? আর এখানে কি ডিপ্লোমা হোল্ডার অ্যালাও করে,neutral
@ShawmikCanArt8 তা ঠিক অনেকেই সরাসরি প্রাইভেটে ভর্তি হয়! পাবলিকে অ্যাডমিশন দেয় না!,pro_private
"বস! বাধ্য হয়ে সবাই জাতীয়তে যায়, প্রাইভেটে না 😆",pro_public
দূর বোদাই আমি পাবলিকে বায়োলজি রিলেটেড সাবজেক্ট পাইয়া প্রাইভেটে অ্যাডমিশন নিছি,pro_private
@Rmfreefire150 বড়লোকস বাট.... 😂,neutral
@Rmfreefire150 কোন ডিপার্টমেন্টে পাবলিকে পেয়েছিলেন,neutral
ঠিক,neutral
সত্যি,neutral
"কে বলল?? সাবজেক্ট ম্যাটার ব্রো,, টাকা ম্যাটার না,,, সাবজেক্ট প্রাইভেটে ইজিলি পাওয়া যায়,, কে যাবে পাবলিকে সাবজেক্ট কি না কি পাই,,",pro_private
"দিনশেষে সবাই এই সমাজেই বাস করে, এখানেই থাকতে হবে। কজন পারে তার পাশের মানুষের কথাকে তাচ্ছিল্য করতে? এইযে আপনি, আরও অনেকে বাস্তব, রিয়েলিটি হেনাতেনা বলে প্রাইভেটকে সেকেন্ড হ্যান্ড হিসেবে রিপ্রেজেন্ট করতে চান, অনেকে চায় না, কিন্তু কথার ধরনে তাই বুঝায়। অথচ পড়ার পরুক নাহ, ওহ এক্সাম দিয়েছে, চান্সে হয়েছে, মাশাল্লাহ, কোন সাবজেক্ট, অহ বাহ, এও বেশি বলে ফেললাম বাট এভাবে আলোচনা করতে পারে না। কে কই পড়ল দেখে সে পড়ে থাকে অথচ ভাই তুই পড়া গিলে গিলে পাবলিকে গেলি ফাইন, বিসিএস দিলি অকে, ভুরি হলো, মাথা টাক হলো, মোস্ট অফ দ্য স্টুডেন্ট যারা এতদূর অব্দি যায় তারা সেই সময়ে আত্মীয় হেনাতেনা সম্পর্ক থিকা দূরে যায়,, এরপর ডিসি হয়ে আসে, তার মহান আম্মা সিরিয়ালে কল করা শুরু করে গ্রামে, আর সব ভুলে গিয়ে সবাই সেই ডিসি প্লাস তার ফুল ফ্যামিলির সাথে পেয়ার শুরু করে দেয়। একচুয়ালি বাংলাদেশ বা সমাজে এসবের হাইপ বিকজ মুখে বলতে সুবিধা, সফটওয়্যার ইঞ্জিনিয়ার, সিএসই, এমবিএ, আর্কিটেকচার, ফার্মেসি... এগুলা বলতে পারে নাহ, উচ্চারণে সমস্যা। ডাক্তার, বিসিএস ক্যাডার, সরকারি চাকরি করে এগুলা বলতে আরাম পায়, উচ্চারণেও সুবিধা। বড় সুবিধা হলো সরকারি চাকরি বা যেগুলো বললাম এগুলো বলার পর কোনো গ্রামের চাচাই আর জিজ্ঞেস করে না যে কোন পদে। ডিউতে বললেই আর সাবজেক্ট জিগায় নাহ, ছোট করছি না কিন্তু ইহাই সত্যি সাইন্স থেকে যেই জিপিএ লাগে তার কম অন্য গ্রুপে। সিস্টেম নিজেই গ্রুপে গ্রুপে বড় ছোট করায়া রাখছে, আর তা ছড়ায় পরতেছে সমাজের মাধ্যমে। অনেকে কেবল কম জিপিএ দিয়ে ভালো পজিশন যাবে ভেবেই গ্রুপ বদলে যায় কমার্সে! কিন্তু এটা কি তুচ্ছ গ্রুপ! এমনেই চলতেছে",neutral
কথাটা ভুল আবার কিছুটা ঠিক। প্রাইভেটে কয়েকটাই অ্যাডমিশন টেস্ট আছে যেটা অনেক হার্ড আইটার ডিউর থেকেও টাফ। ফর এক্সাম্পল ব্র্যাক। ব্র্যাক যেই মিডিয়ামে পড়ুক না কেনো এক্সাম অ্যান্ড ভাইভা ইংলিশে হয় এবং যেগুলাই এক্সাম হয় সেগুলা অনেক স্টুডেন্ট ট্রাই করে এবং অনেক হার্ড তো টিকা,pro_private
পার্থক্যটা শুধু টাকার।,neutral
"এখন সিচুয়েশন অনেক আলাদা। এখন সাবজেক্ট অনেক ডিপেন্ড করে। যেমন আমি নিজে কুয়েট লেদার, রু ম্যাথ, জিএসটি টপ সাবজেক্ট সেরে আস্টতে অ্যাডমিট হইসি। আবার অনেকের বাসা ঢাকা থাকলে বাইরের ইউনিভার্সিটিতে যেতে চায় না",neutral
@Thedarkestknight_2 গুড ডিসিশন ব্রাদার ❤,neutral
@Thedarkestknight_2 পাবলিকে চান্স পাইনি 😂😂😂,neutral
@Thedarkestknight_2 আস্ট সিএসই কোস্ট কেমন ব্রো ওর এনএসইউ সিএসই বেস্ট,neutral
তুমি তোমার ব্রেইন ফেলে দিয়েছো,neutral
"😂লেইম মার্কা কথা বলেন না, আইসিপিসি - বুয়েট অ্যান্ড সাস্টকে হারিয়েছে। ওয়ার্ল্ড ফাইনালিস্ট। রোভার - এভরি ইউনিকে হারিয়েছে। ডুবুরি - নো কম্পিটিশন ইন বাংলাদেশ। উই আর ইমপ্রুভিং ইন এভরি সেক্টরস। আওয়ার অ্যালামনাই - ইফ বুয়েট হ্যাজ 6 পিপল ইন অ্যা কোম্পানি উই হ্যাভ 3,4 দেয়ার। আওয়ার নেটওয়ার্ক - 0। দ্যাটস দ্যা ওনলি ইস্যু। ল্যাব ফ্যাসিলিটিজ - বেটার ইন সাম অ্যাসপেক্টস। ক্লাসরুম ফ্যাসিলিটিজ অ্যান্ড আদার ক্যাম্পাস ফ্যাসিলিটিজ - টপ নোচ। রিসেন্টলি ব্র্যাক স্কুল অফ ইঞ্জিনিয়ারিং কোলাবরেশন উইথ বিএসআরএম অ্যান্ড চেইঞ্জ দ্যা নেম বিএসআরএম স্কুল অফ ইঞ্জিনিয়ারিং। সাউন্ডস ওয়ার্ড বাট ওকে। আওয়ার সিলেকশন প্রসেস ফর সিএসই ইজ ওয়ে হার্ডার দ্যান সাম পাবলিক ইউনি",pro_private
ওন ডুয়েট আইইউপিসি 2 ডেইজ অ্যাগো,pro_private
@yt_MIHAT সো হোয়াট। এভরিওয়ান ডু নট হ্যাভ দ্যা ক্যাপাবিলিটি টু গেট অ্যাডমিটেড ইন অ্যা প্রাইভেট ইউনি???,neutral
মতামতের জন্য ধন্যবাদ,neutral
"রিসার্চ, গবেষণা ও উচ্চশিক্ষায় প্রাইভেট এগিয়ে",pro_private
😂 আপনি সেরা ভাই। অনেক দিন পর প্রাণ খুলে হাসলাম🤣🤣,neutral
ভাইয়া আইইউটি লেভেল তো বুয়েট কোয়ালিটির কারণ এটা ইন্টারন্যাশনাল ভার্সিটি। বাকি প্রাইভেটের সাথে আইইউটি কম্পেয়ার করা ঠিক না,neutral
কথা সত্তি ভাই এরা এনএসইউ আর ব্র্যাকের আইডিয়া নিয়া কথা বলছে,neutral
@lightlife8030 হুম। সবাই তো এনএসইউ আর ব্র্যাকে পড়ে না। বেশিরভাগ প্রাইভেটের স্টুডেন্টরা এন্ট্রি লেভেলের গুলোতে পড়ে যেখানের টিচাররা হলো পাবলিকের লাস্টের দিকের ছেলেপেলে। কারণ ভালো গুলো তো বেশিরভাগ জব অ্যান্ড অ্যাব্রোড যায়।,pro_public
পাবলিকের স্টুডেন্ট ওই স্টুডেন্ট আবার প্রাইভেটে টিচার হয়। তাহলে প্রাইভেটে লেভেল আসলেই বোঝা যায় 😂😂,pro_public
@AnikPaul-l5m পাবলিকের স্টুডেন্টও পাবলিকের টিচার হয়,neutral
🤣🤣এইসব ডায়ালগ আমিও এক কালে দিতাম..এখন পাবলিক আর জিএসটি'র ফালতু ভার্সিটি রেখে আইইউবি সিএসইতে আসছি ব্রুহ,pro_private
@tanzirshadhin5386 সেইম আমিও আইইউবি সিএসই 😊,neutral
@tanzirshadhin5386 চান্স পাইনি 😂😂😂,neutral
@tanzirshadhin5386 জিএসটি'র কোনটায় পড়তেন?,neutral
মোদনা হালা😂 ভাই তুই এখনো চাচাতো ভাইয়ে আছিস 😂,neutral
ভাই আমি নিজে ডিউ রিজেক্ট করেছি খোঁজ নিয়ে দেখো টপ সাবজেক্ট ছিল আমার ডিউতে,pro_private
আমি নিজের ঢাবি রেখে ব্র্যাকে ভর্তি হয়েছি। পাবলিকে পড়াশোনা হয় যা হয় তা রাজনীতি। আর বস্তির পোলাপান পাবলিকে পড়ে। পাবলিক বিশ্ববিদ্যালয়ের পরিবেশ জঘন্য। টয়লেটের অবস্থা ল্যাব জঘন্যতম,pro_private
@ahosunhabibahosunhabib4162 ঢাবিতে কি সাবজেক্ট পাইছিলেন,neutral
@ahosunhabibahosunhabib4162 বস্তির পোলাপান পাবলিকে পড়ে মানে??? বাপের টাকায় ফুটানি আমরা মাড়াইনা বুঝনাই,pro_public
আসলে প্রাইভেটে টাইম ম্যানেজমেন্টটা ভালো.. এনভায়রনমেন্ট ভালো.. ইভেন কিছু ক্ষেত্রে পড়ার কোয়ালিটিটাও বেশ ভালো.. সো জাস্ট ফর মানি প্রাইভেটকে ছোটো করা ইজন্ট ওকে.. পড়ার মানের উপরেই আসলে যেকোনো ইনস্টিটিউট ভালো না মন্দো ডিপেন্ড করে.. আমি পাবলিকেরই স্টুডেন্ট কিন্তু আই প্রেফার প্রাইভেট ইউনিভার্সিটি ইফ ইউ হ্যাভ এনাফ মানি টু গেট ইনটু দ্যাট..,pro_private
সত্যি বললে সবারই গায়ে লাগবে🤣,neutral
"প্রাইভেট আসলেই ভালো.. একটা এডুকেশন ফ্রেন্ডলি এনভায়রনমেন্ট প্রোভাইড করে.. নো পলিটিক্স নো কেয়োস নো কনফ্লিক্ট ইভেন 0% র‍্যাগিং.. সেশন জটও নেই.. দুইদিন পর পর মারামারি করে ক্লাস বন্ধ হল বন্ধ এসবও নাই... ক্যাম্পাস লাইফ ইজ ওনলি ফর ইন্টারঅ্যাকশন, এডুকেশন অ্যান্ড বিল্ডিং স্কিলস.. ইভেন আমার তো মনে হয় এ গ্রেড প্রাইভেট ইউনিভার্সিটিগুলো ইন্টারন্যাশনাল মানের এনভায়রনমেন্ট প্রোভাইড করে",pro_private
ভাই আপনার কথার সাথে এক মত হতে পারলাম না... আমি আগেই বলি নাই প্রাইভেটের সাপোর্ট করতাছি না বা পাবলিককে নিচু করতাছি না... সিম্পল কোশ্চন আনএমপ্লয়মেন্ট রেট কতো এটা জানেন? মেধার বিকাশ হলে এতো আনএমপ্লয়মেন্ট হতো না... প্রাইভেটের চেয়ে পাবলিকে বেশি..,pro_private
